collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,baseballWebsiteUrl
cmou7y6lb00i0qtoctz1o5gup,Air Force Academy,air-force-academy,Colorado Springs,CO,,cmou7y6m100i2qtocacagvlzg,NCAA_D1,,Mountain West,https://goairforcefalcons.com/sports/baseball
cmou8bk6700mlqtuw9jg9v0hr,Alabama State University,alabama-state-university,Montgomery,AL,,cmou8bk7000mnqtuws5zp12wv,NCAA_D1,,SWAC,https://bamastatesports.com/sports/baseball
cmosumzyf004cqtlgurkdv8j2,Arizona State University,arizona-state-university,Tempe,AZ,,cmosumzz4004eqtlggz9328ng,NCAA_D1,,Big 12,https://thesundevils.com/sports/baseball
cmou3bz6n005oqtvovcdaj57a,Arkansas State University,arkansas-state-university,Jonesboro,AR,,cmou3bz7n005qqtvo0uxy0otj,NCAA_D1,,Sun Belt,https://astateredwolves.com/sports/baseball
cmou7skej00frqtagr0af6s2l,Ball State University,ball-state-university,Muncie,IN,,cmou7skfe00ftqtagnd5b58qi,NCAA_D1,,MAC,https://ballstatesports.com/sports/baseball
cmou3xrc4006oqt5s6xbcss6r,Boise State University,boise-state-university,Boise,ID,,cmou3xrdd006qqt5sc7anpsi2,NCAA_D1,,Mountain West,
cmou7y6to00iiqtoccnzql78p,California State University Fresno,california-state-university-fresno,Fresno,CA,,cmou7y6ud00ikqtoccagchujp,NCAA_D1,,Mountain West,https://gobulldogs.com/sports/baseball
cmou7zw9900j0qt18f8v0lvet,Central Connecticut State University,central-connecticut-state-university,New Britain,CT,,cmou7zwa000j2qt18c7a5hwss,NCAA_D1,,Northeast Conference,https://ccsubluedevils.com/sports/baseball
cmou3xres006rqt5sroo5bttq,Colorado State University,colorado-state-university,Fort Collins,CO,,cmou3xrff006tqt5spdnjoc3d,NCAA_D1,,Mountain West,
cmou87s0o00llqt8obrn2et5p,East Texas A&M University,east-texas-am-university,Commerce,TX,,cmou87s1f00lnqt8og9kmz6ie,NCAA_D1,,Southland,https://lionathletics.com/sports/baseball
cmou8250s00joqtfonibp33ex,Eastern Illinois University,eastern-illinois-university,Charleston,IL,,cmou8251i00jqqtforluc833g,NCAA_D1,,Ohio Valley,https://eiupanthers.com/sports/baseball
cmou6929i009lqt1gqrj949vt,Eastern Kentucky University,eastern-kentucky-university,Richmond,KY,,cmou692a7009nqt1gx1fvng63,NCAA_D1,,ASUN,https://ekusports.com/sports/baseball
cmou7skj100g0qtagj06bdvsw,Eastern Michigan University,eastern-michigan-university,Ypsilanti,MI,,cmou7skju00g2qtagvnch2szo,NCAA_D1,,MAC,https://emueagles.com/sports/baseball
cmou74g3m00cuqtboxefftaxz,Florida International University,florida-international-university,Miami,FL,,cmou74g4a00cwqtbow41onypu,NCAA_D1,,Conference USA,https://fiusports.com/sports/baseball
cmosownp0000cqtuo7ukk8301,Florida State University,florida-state-university,Tallahassee,FL,,cmosownpr000eqtuok3wn4xee,NCAA_D1,,ACC,https://seminoles.com/sports/baseball
cmou3xrg1006uqt5s90fq7wbv,Fresno State,fresno-state,Fresno,CA,,cmou3xrgo006wqt5sawcj9olu,NCAA_D1,,Pac-12,https://gobulldogs.com/sports/baseball
cmou3bzc7005xqtvobxbfhhf1,Georgia State University,georgia-state-university,Atlanta,GA,,cmou3bzcy005zqtvo3urwyp5m,NCAA_D1,,Sun Belt,https://georgiastatesports.com/sports/baseball
cmou7wke000hcqt5sqqhjpdb9,Illinois State University,illinois-state-university,Normal,IL,,cmou7wkeo00heqt5sc53q9gdn,NCAA_D1,,Missouri Valley,https://goredbirds.com/sports/baseball
cmou7wkff00hfqt5sve6yzh1q,Indiana State University,indiana-state-university,Terre Haute,IN,,cmou7wkg500hhqt5skxa5byu1,NCAA_D1,,Missouri Valley,https://gosycamores.com/sports/baseball
cmoss3ude002rqtaoztf1hdin,Indiana University,indiana-university,Bloomington,IN,,cmoss3ue6002tqtaoogo4t1i5,NCAA_D1,,Big Ten,https://iuhoosiers.com/sports/baseball
cmosun0gl005iqtlg3rsb1jga,Iowa State University,iowa-state-university,Ames,IA,,cmosun0h8005kqtlgzn9zgzov,NCAA_D1,,Big 12,
cmou8bked00n0qtuwpp2lpp75,Jackson State University,jackson-state-university,Jackson,MS,,cmou8bkf300n2qtuwklvjxrw9,NCAA_D1,,SWAC,https://gojsutigers.com/sports/baseball
cmou74g4y00cxqtbo8mt66c5s,Jacksonville State University,jacksonville-state-university,Jacksonville,AL,,cmou74g5m00czqtbo27ri2tut,NCAA_D1,,Conference USA,https://jsugamecocksports.com/sports/baseball
cmou692c9009rqt1gyfzu2me9,Jacksonville University,jacksonville-university,Jacksonville,FL,,cmou692cy009tqt1gvkh1u2u0,NCAA_D1,,ASUN,https://judolphins.com/sports/baseball
cmosun069004uqtlgldcwzyyz,Kansas State University,kansas-state-university,Manhattan,KS,,cmosun06w004wqtlghra8useq,NCAA_D1,,Big 12,https://www.kstatesports.com/sports/baseball
cmorirvat001cqtm0g8f0pvoh,Kennesaw State University,kennesaw-state-university,Kennesaw,GA,,cmorirvc4001eqtm05q6w6boq,NCAA_D1,,Conference USA,https://ksuowls.com/sports/baseball
cmou7skkk00g3qtagy6vhez1y,Kent State University,kent-state-university,Kent,OH,,cmou7skla00g5qtagy804ec2z,NCAA_D1,,MAC,https://kentstatesports.com/sports/baseball
cmou6ba6o00aoqticyii4x4fl,Marquette University,marquette-university,Milwaukee,WI,,cmou6ba7d00aqqticpdxjqz8q,NCAA_D1,,Big East,
cmoss3uj00033qtao6edcy6t4,Michigan State University,michigan-state-university,East Lansing,MI,,cmoss3ujo0035qtaocvcas0pr,NCAA_D1,,Big Ten,https://msuspartans.com/sports/baseball
cmosp9qlj0020qtygmlse1hvz,Mississippi State University,mississippi-state-university,Starkville,MS,,cmosp9qm90022qtygo9hvl54a,NCAA_D1,,SEC,https://hailstate.com/sports/baseball
cmou7wkgw00hiqt5sseedt2ma,Missouri State University,missouri-state-university,Springfield,MO,,cmou7wkhn00hkqt5sbhclevc1,NCAA_D1,,Missouri Valley,https://missouristatebears.com/sports/baseball
cmou8254z00jxqtfojfw5nai9,Morehead State University,morehead-state-university,Morehead,KY,,cmou8255p00jzqtfoxtl707lf,NCAA_D1,,Ohio Valley,https://msueagles.com/sports/baseball
cmou7wkih00hlqt5s33909h6i,Murray State University,murray-state-university,Murray,KY,,cmou7wkj800hnqt5sekexg9mi,NCAA_D1,,Ohio Valley,https://goracers.com/sports/baseball
cmou8540400kuqtiws5720no0,Naval Academy,naval-academy,Annapolis,MD,,cmou8540s00kwqtiwqdx2wzj0,NCAA_D1,,Patriot League,https://navysports.com/sports/baseball
cmou74gbw00dcqtbol3sfoqsv,New Mexico State University,new-mexico-state-university,Las Cruces,NM,,cmou74gcl00deqtboo14o1rx4,NCAA_D1,,Conference USA,https://nmstatesports.com/sports/baseball
cmou7v16500guqtfgg29wl5pq,Norfolk State University,norfolk-state-university,Norfolk,VA,,cmou7v16v00gwqtfgg233rx6f,NCAA_D1,,MEAC,https://nsuspartans.com/sports/baseball
cmou72rgb00c9qtt82x6a8jc6,North Carolina A&T State University,north-carolina-at-state-university,Greensboro,NC,,cmou72rh100cbqtt8n0exf72o,NCAA_D1,,CAA,https://ncataggies.com/sports/baseball
cmou7v17l00gxqtfg0hn9bpcu,North Carolina Central University,north-carolina-central-university,Durham,NC,,cmou7v18e00gzqtfgii9a1tv8,NCAA_D1,,MEAC,https://nccueaglepride.com/sports/baseball
cmou87sc400m6qt8og6qwpy7g,Northwestern State University,northwestern-state-university,Natchitoches,LA,,cmou87sd800m8qt8omluc99f6,NCAA_D1,,Southland,https://nsudemons.com/sports/baseball
cmoss3un1003cqtao6c08qtft,Northwestern University,northwestern-university,Evanston,IL,,cmoss3uno003eqtaonzgvlr9p,NCAA_D1,,Big Ten,https://nusports.com/sports/baseball
cmoss3uob003fqtaoxl8favwc,Ohio State University,ohio-state-university,Columbus,OH,,cmoss3upc003hqtaoe5fltxdq,NCAA_D1,,Big Ten,https://ohiostatebuckeyes.com/sports/baseball
cmou7skqk00gfqtagxrcr2y5r,Ohio University,ohio-university,Athens,OH,,cmou7skr800ghqtagxadkl54c,NCAA_D1,,MAC,https://ohiobobcats.com/sports/baseball
cmosun07l004xqtlgmfv1xuiu,Oklahoma State University,oklahoma-state-university,Stillwater,OK,,cmosun087004zqtlg8mhr1z8t,NCAA_D1,,Big 12,https://okstate.com/sports/baseball
cmou3xril0070qt5slpmm4icd,Oregon State University,oregon-state-university,Corvallis,OR,,cmou3xrj70072qt5s2jjtrt9o,NCAA_D1,,Pac-12,https://osubeavers.com/sports/baseball
cmorj0gtv002lqtio6lhkp2sn,Queens University of Charlotte,queens-university-of-charlotte,Charlotte,NC,,cmorj0gul002nqtioftxuxef1,NCAA_D1,,ASUN,https://queensathletics.com/sports/baseball
cmou7zwi600jiqt182wps2oyk,Saint Francis University,saint-francis-university,Loretto,PA,,cmou7zwix00jkqt18iaqsgumz,NCAA_D1,,Northeast Conference,https://sfuathletics.com/sports/baseball
cmou3xrju0073qt5sqs3jf1rt,San Diego State University,san-diego-state-university,San Diego,CA,,cmou3xrkg0075qt5suzvu19l1,NCAA_D1,,Mountain West,https://goaztecs.com/sports/baseball
cmou7y6qy00icqtocgehc57zb,San Jose State University,san-jose-state-university,San Jose,CA,,cmou7y6rn00ieqtoc6pij5vm6,NCAA_D1,,Mountain West,https://sjsuspartans.com/sports/baseball
cmou8cts300o6qtlo0noyht46,Seattle University,seattle-university,Seattle,WA,,cmou8ctsr00o8qtlot3odh0cd,NCAA_D1,,WAC,https://goseattleu.com/sports/baseball
cmou7v19400h0qtfgytxc7nrk,South Carolina State University,south-carolina-state-university,Orangeburg,SC,,cmou7v19v00h2qtfg67xwvlf3,NCAA_D1,,MEAC,https://scsuathletics.com/sports/baseball
cmou8257y00k3qtfo1yehrrpj,Southeast Missouri State University,southeast-missouri-state-university,Cape Girardeau,MO,,cmou8258p00k5qtfobw57z4wq,NCAA_D1,,Ohio Valley,https://semoredhawks.com/sports/baseball
cmou7wkli00hrqt5sdf793czs,Southern Illinois University,southern-illinois-university,Carbondale,IL,,cmou7wkmb00htqt5sqdbxm6mn,NCAA_D1,,Missouri Valley,https://siusalukis.com/sports/baseball
cmou8bkiv00n9qtuw67iv0p5k,Southern University and A&M College,southern-university-and-am-college,Baton Rouge,LA,,cmou8bkjn00nbqtuwq3i8eulz,NCAA_D1,,SWAC,https://gojagsports.com/sports/baseball
cmou8ctpc00o0qtlou8fzrbpg,Southern Utah University,southern-utah-university,Cedar City,UT,,cmou8ctq200o2qtlol6t2tipq,NCAA_D1,,WAC,https://suutbirds.com/sports/baseball
cmou6ba9d00auqtichfm9m8f7,St. John's University,st-johns-university,Queens,NY,,cmou6baa000awqticynlwrngm,NCAA_D1,,Big East,https://redstormsports.com/sports/baseball
cmossgres0013qti43q75sz9x,Syracuse University,syracuse-university,Syracuse,NY,,cmossgrfi0015qti4tqm0lti8,NCAA_D1,,ACC,
cmou8ctnz00nxqtlo1naql28v,Tarleton State University,tarleton-state-university,Stephenville,TX,,cmou8ctoo00nzqtlov4b045g8,NCAA_D1,,WAC,https://tarletonsports.com/sports/baseball
cmou57egv0083qtdw0yqps6gp,Temple University,temple-university,Philadelphia,PA,,cmou57eix0085qtdwfpxjlw9q,NCAA_D1,,AAC,https://owlsports.com/sports/baseball
cmou825av00k9qtfo6o2sfjmf,Tennessee Technological University,tennessee-technological-university,Cookeville,TN,,cmou825bk00kbqtfopplc3k9d,NCAA_D1,,Ohio Valley,https://ttusports.com/sports/baseball
cmou87sgu00mfqt8otiseblwa,Texas A&M University Corpus Christi,texas-am-university-corpus-christi,Corpus Christi,TX,,cmou87shj00mhqt8on876f8eo,NCAA_D1,,Southland,https://goislanders.com/sports/baseball
cmou3bzmd006iqtvo520iedb5,Texas State University,texas-state-university,San Marcos,TX,,cmou3bzn4006kqtvov57tocaz,NCAA_D1,,Pac-12,https://txst.com/sports/baseball
cmou7y6sb00ifqtoc8y5sldt8,United States Naval Academy,united-states-naval-academy,Annapolis,MD,,cmou7y6sz00ihqtocklg7uf6e,NCAA_D1,,Mountain West,https://navysports.com/sports/baseball
cmosp9qb0001cqtyg3bj9jezt,University of Alabama,university-of-alabama,Tuscaloosa,AL,,cmosp9qbp001eqtygsx3wqo39,NCAA_D1,,SEC,https://rolltide.com/sports/baseball
cmou57e5s007iqtdwb3g795nq,University of Alabama at Birmingham,university-of-alabama-at-birmingham,Birmingham,AL,,cmou57e6p007kqtdwt7q4s4pg,NCAA_D1,,AAC,https://uabsports.com/sports/baseball
cmosp9qcd001fqtygqtxktpzw,University of Arkansas,university-of-arkansas,Fayetteville,AR,,cmosp9qd4001hqtyggghrj9on,NCAA_D1,,SEC,https://arkansasrazorbacks.com/sport/baseball
cmou8253h00juqtfoheeskxep,University of Arkansas at Little Rock,university-of-arkansas-at-little-rock,Little Rock,AR,,cmou8254800jwqtfo93hx3i10,NCAA_D1,,Ohio Valley,https://lrtrojans.com/sports/baseball
cmosownko0003qtuom8wxpo9s,University of California Berkeley,university-of-california-berkeley,Berkeley,CA,,cmosownle0005qtuo0gwfge3i,NCAA_D1,,ACC,https://calbears.com/sports/baseball
cmosun0fb005fqtlg6yhcnwdm,University of Colorado Boulder,university-of-colorado-boulder,Boulder,CO,,cmosun0fy005hqtlg6guheyu1,NCAA_D1,,Big 12,
cmosp9qf2001lqtyghnsfqgxe,University of Florida,university-of-florida,Gainesville,FL,,cmosp9qfq001nqtygmt8vlvxj,NCAA_D1,,SEC,https://floridagators.com/sports/baseball
