slug,programXUrl,programInstagramUrl,recruitingQuestionnaireUrl,recruitsPageUrl,sourceUrl,confidence,verifiedAt,reviewStatus
east-carolina-university,,,https://questionnaires.armssoftware.com/1c0400d4bccb,https://questionnaires.armssoftware.com/1c0400d4bccb,https://ecupirates.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
florida-atlantic-university,,,https://questionnaires.armssoftware.com/4dcc55bdd441,https://questionnaires.armssoftware.com/4dcc55bdd441,https://fausports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
temple-university,https://x.com/TempleOwls,,,,https://owlsports.com/sports/baseball,LOW,,NEEDS_REVIEW
tulane-university,,,https://questionnaires.armssoftware.com/ea76203753c3,https://questionnaires.armssoftware.com/ea76203753c3,https://tulanegreenwave.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-north-carolina-at-charlotte,https://twitter.com/CharlotteBSB,,,,https://charlotte49ers.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-south-florida,https://x.com/USFBaseball,https://instagram.com/USFBaseball,,,https://gousfbulls.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-texas-at-san-antonio,https://twitter.com/UTSABSB,https://instagram.com/utsabsb,https://goutsa.com/prospective-student-athletes-questionnaires,https://goutsa.com/prospective-student-athletes-questionnaires,https://goutsa.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
wichita-state-university,https://x.com/GoShockersBSB,https://instagram.com/goshockersbsb,,,https://goshockers.com/sports/baseball,LOW,,NEEDS_REVIEW
boston-college,,,http://my.armssoftware.com/arms/public/questionnaire/6c14d9714e64,http://my.armssoftware.com/arms/public/questionnaire/6c14d9714e64,https://bceagles.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
clemson-university,https://twitter.com/clemsonbaseball,https://www.instagram.com/clemsonbaseball/,,https://clemsontigers.com/baseball-recruits,https://clemsontigers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
duke-university,,,https://my.armssoftware.com/arms/public/questionnaire/cbbc86f9e17d?path=baseball,https://my.armssoftware.com/arms/public/questionnaire/cbbc86f9e17d?path=baseball,https://goduke.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
florida-state-university,https://x.com/FSUBaseball,https://instagram.com/nolebaseball,,,https://seminoles.com/sports/baseball,LOW,,NEEDS_REVIEW
georgia-tech,http://www.twitter.com/GTBaseball,http://www.instagram.com/gt_baseball/,,https://ramblinwreck.com/georgia-tech-baseball-recruiting-central/,https://ramblinwreck.com/sports/m-basebl,MEDIUM,,NEEDS_REVIEW
stanford-university,https://twitter.com/stanfordbsb,https://instagram.com/stanfordbsb,https://questionnaires.armssoftware.com/8a6fc83b3ecb,https://questionnaires.armssoftware.com/8a6fc83b3ecb,https://gostanford.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-california-berkeley,https://x.com/calbaseball,https://instagram.com/calbaseball,,,https://calbears.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-miami,https://twitter.com/CanesBaseball,https://www.instagram.com/canesbaseball/,,https://miamihurricanes.com/recruiting/,https://miamihurricanes.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-north-carolina-at-chapel-hill,https://x.com/DiamondHeels,https://instagram.com/carolinabaseball,,,https://goheels.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-notre-dame,https://twitter.com/@NDBaseball,https://www.instagram.com/notredamebaseball/,https://questionnaires.armssoftware.com/42f77fbd4f94,https://questionnaires.armssoftware.com/42f77fbd4f94,https://fightingirish.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-pittsburgh,,,https://pittsburghpanthers.com/sports/2017/6/17/ot-recruit-questionnaires-html,https://pittsburghpanthers.com/sports/2017/6/17/ot-recruit-questionnaires-html,https://pittsburghpanthers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-virginia,https://twitter.com/uvabaseball,https://instagram.com/uvabaseball,https://questionnaires.armssoftware.com/4d8cc626aeb6,https://questionnaires.armssoftware.com/4d8cc626aeb6,https://virginiasports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
